,Program Name,Course Code,CRN,Subject,Course Number,Section,Title,Type,Day(s),Time,Room,Instructor(s)
458,Computer Science,CPSC 4830,20557,CPSC,4830,001,Data Mining for Data Analytics,Lecture,---R---,1830-2020,B026,Chinmaya Mahapatra
459,Computer Science,CPSC 4830,20557,CPSC,4830,001,Data Mining for Data Analytics,Lab,-T-----,1830-2020,B019,Chinmaya Mahapatra
460,Computing Science & Information Systems,CSIS 1300,20111,CSIS,1300,001,Systems Analysis & Design,Lecture,-T-R---,1030-1220,L103,Rushdi Alsaleh
461,Computing Science & Information Systems,CSIS 2500,20112,CSIS,2500,W01,Management Info Systems,WWW,-------,-,WWW,Bhavneet Sidhu
462,Criminology,CRIM 1115,20087,CRIM,1115,001,Intro to Criminal Justice Syst,Lecture,M-W----,1430-1620,B246,Jennifer Armstrong
463,Criminology,CRIM 1116,20088,CRIM,1116,M01,Intro to Cdn Law & Legal Inst,Lecture,-T-----,1230-1420,B246,Shafik Bhalloo
464,Criminology,CRIM 1116,20088,CRIM,1116,M01,Intro to Cdn Law & Legal Inst,Lecture,-------,-,WWW,Shafik Bhalloo
465,Criminology,CRIM 1125,20089,CRIM,1125,001,Intro to Criminology,Lecture,M-W----,1230-1420,A122B,Heidi Currie
466,Criminology,CRIM 1215,20090,CRIM,1215,001,Introduction to Policing,Lecture,M------,1830-2120,B246,Dilvur Dub
467,Data Analytics,DANA 4800,20705,DANA,4800,001,Data Analysis and Stat Infer,Lecture,-T-R---,1630-1820,B008,Quynh Nguyen
468,Data Analytics,DANA 4810,20706,DANA,4810,001,Predic Analytics-Quantv Data,Lecture,-T-R---,1430-1620,B009,Nooshin Lary
469,Data Analytics,DANA 4820,20707,DANA,4820,001,Predic Analytics-Qualtv Data,Lecture,M-W----,1430-1620,B008,Nooshin Lary
470,Data Analytics,DANA 4830,20708,DANA,4830,001,Dmnsn Rdctn and Clasfctn I,Lecture,-T-R---,1430-1620,B008,Quynh Nguyen
471,Data Analytics,DANA 4840,20709,DANA,4840,001,Classification II,Lecture,-T-R---,1630-1820,B010,Yew-Wei Lim
472,Data Analytics,DANA 4850,20710,DANA,4850,001,Capstone Project,Lecture,M-W-F--,1230-1420,B008,Quynh Nguyen
473,Design,DSGN 1100,20704,DSGN,1100,M01,From Typography to Tattoos,Lecture,--W----,0930-1120,A256,Peter Vysek
474,Design,DSGN 1100,20704,DSGN,1100,M01,From Typography to Tattoos,Lecture,-------,-,WWW,Peter Vysek
475,Design,DSGN 1121***NEW COURSE***,20786,DSGN,1121,AW1,Research and Definition,WWW,-------,-,WWW,Dave Savard
476,Design,DSGN 1121***NEW COURSE***,20786,DSGN,1121,AW1,Research and Definition,WWW,--WR---,1230-1520,WWW,Dave Savard
477,Design,DSGN 1121***NEW COURSE***,20786,DSGN,1121,AW1,Research and Definition,WWW,--WR---,1230-1520,WWW,Dave Savard
478,Design,DSGN 1122***NEW COURSE***,20787,DSGN,1122,AW1,Ideation and Wireframes,WWW,-------,-,WWW,Dave Savard
479,Design,DSGN 1122***NEW COURSE***,20787,DSGN,1122,AW1,Ideation and Wireframes,WWW,--WR---,1230-1520,WWW,Dave Savard
480,Design,DSGN 1122***NEW COURSE***,20787,DSGN,1122,AW1,Ideation and Wireframes,WWW,--WR---,1230-1520,WWW,Dave Savard
481,Design,DSGN 1123***NEW COURSE***,20788,DSGN,1123,AW1,Prototyping,WWW,-------,-,WWW,Dave Savard
482,Design,DSGN 1123***NEW COURSE***,20788,DSGN,1123,AW1,Prototyping,WWW,--WR---,1230-1520,WWW,Dave Savard
483,Design,DSGN 1123***NEW COURSE***,20788,DSGN,1123,AW1,Prototyping,WWW,--WR---,1230-1520,WWW,Dave Savard
484,Design,DSGN 2351,20703,DSGN,2351,AW1,Web Design Fundamentals,WWW,MT-RF--,0930-1120,WWW,Dave Savard
485,Early Childhood Education,ECED 1112,20652,ECED,1112,W01,Exploring the Environment I,WWW,-------,-,WWW,Jennifer Anaquod
486,Early Childhood Education,ECED 1118,20653,ECED,1118,W01,Intro to Program Planning,WWW,-------,-,WWW,Andrea James
487,Early Childhood Education,ECED 1201,20654,ECED,1201,001,Lang Arts for Young Child II,Lecture,-T-----,1330-1450,A283,Pooja Kalsi
488,Early Childhood Education,ECED 1202,20655,ECED,1202,W01,Child Grwth and Development II,WWW,-------,-,WWW,Jennifer Anaquod
489,Early Childhood Education,ECED 1212,20656,ECED,1212,001,Exploring the Environment II,Lecture,M------,0930-1220,A283,Negar Kaviani
490,Early Childhood Education,ECED 1212,20657,ECED,1212,W01,Exploring the Environment II,WWW,-------,-,WWW,Andrea James
491,Early Childhood Education,ECED 1214,20658,ECED,1214,001,Prg Planning for Infants & Tod,Lecture,-T-----,0930-1220,A283,Negar Kaviani
492,Early Childhood Education,ECED 1217,20659,ECED,1217,001,Human Relations in EC Programs,Lecture,M-W----,1330-1450,A283,Lauren Mitchell
493,Early Childhood Education,ECED 1218,20660,ECED,1218,001,Program Planning & Implement,Lecture,---R---,1330-1620,A272,Jennifer Moule
494,Early Childhood Education,ECED 1219,20661,ECED,1219,001,Practicum II,Practicum,-------,-,OFFC,"Jennifer Moule, Negar Kaviani"
495,Early Childhood Education,ECED 1301,20662,ECED,1301,001,Lang Arts for Young Child III,Lecture,---R---,1300-1420,A283,Negar Kaviani
496,Early Childhood Education,ECED 1308,20663,ECED,1308,001,Creative Envs for Yng Children,Lecture,----F--,1230-1520,A283,Jennifer Moule
497,Early Childhood Education,ECED 1315,20664,ECED,1315,001,Devlpg & Supvsg EC Centres,Lecture,M------,1330-1620,A333,Pooja Kalsi
498,Early Childhood Education,ECED 1318,20665,ECED,1318,001,Eval & Individualizing Pgms,Lecture,----F--,0900-1150,A283,Pooja Kalsi
499,Early Childhood Education,ECED 1319,20666,ECED,1319,001,Practicum III,Practicum,-------,-,OFFC,Negar Kaviani
500,Early Childhood Education,ECED 1319,20667,ECED,1319,002,Practicum III,Practicum,-------,-,OFFC,Pooja Kalsi
501,Early Childhood Education,ECED 1325,20668,ECED,1325,001,"Health, Nutrition, & Safety",Lecture,---R---,0900-1220,A283,Lauren Mitchell
502,Early Childhood Education,ECED 1329,20669,ECED,1329,001,Infant & Toddler Practicum,Practicum,-------,-,OFFC,Andrea James
503,Early Childhood Education,ECED 2419,20670,ECED,2419,001,ECE:Special Education Prctm,Practicum,-------,-,OFFC,"Jennifer Moule, Lauren Mitchell"
504,Economics,ECON 1119,20595,ECON,1119,001,Canadian Domestic & Intl Issue,Lecture,M-W----,1430-1620,A130,. TBA
505,Economics,ECON 1220,20596,ECON,1220,001,Principles of Microeconomics,Lecture,M-W----,0830-1020,A130,. TBA
506,Economics,ECON 1220,20597,ECON,1220,002,Principles of Microeconomics,Lecture,-T-R---,1030-1220,A122A,. TBA
507,Economics,ECON 1220,20615,ECON,1220,AW1,Principles of Microeconomics,WWW,---R---,1230-1420,WWW,. TBA
508,Economics,ECON 1220,20615,ECON,1220,AW1,Principles of Microeconomics,WWW,-------,-,WWW,. TBA
509,Economics,ECON 1220,20602,ECON,1220,M01,Principles of Microeconomics,Lecture,M------,1430-1620,A122A,. TBA
510,Economics,ECON 1220,20602,ECON,1220,M01,Principles of Microeconomics,Lecture,-------,-,WWW,. TBA
511,Economics,ECON 1221,20617,ECON,1221,001,Principles of Macroeconomics,Lecture,-T-R---,1430-1620,A136A,. TBA
512,Economics,ECON 1221,20618,ECON,1221,002,Principles of Macroeconomics,Lecture,M-W----,1630-1820,A136A,. TBA
513,Economics,ECON 1221,20622,ECON,1221,AW1,Principles of Macroeconomics,WWW,--W----,1030-1220,WWW,. TBA
514,Economics,ECON 1221,20622,ECON,1221,AW1,Principles of Macroeconomics,WWW,-------,-,WWW,. TBA
515,Economics,ECON 4800,20620,ECON,4800,M01,Intro to Microeconomics,Lecture,---R---,1630-1820,A130,. TBA
516,Economics,ECON 4800,20620,ECON,4800,M01,Intro to Microeconomics,Lecture,-------,-,WWW,. TBA
517,Economics,ECON 4810,20621,ECON,4810,M01,Intro to Macroeconomics,Lecture,--W----,1430-1620,A122A,. TBA
518,Economics,ECON 4810,20621,ECON,4810,M01,Intro to Macroeconomics,Lecture,-------,-,WWW,. TBA
519,Education Assistant,EDAS 1210,20756,EDAS,1210,AW1,Supporting Learning,WWW,M-W----,1630-2020,WWW,Kari MacDougall
520,Education Assistant,EDAS 1220,20755,EDAS,1220,AW1,Supporting Teamwork,WWW,-----S-,0900-1620,WWW,Kari MacDougall
521,English,ENGL 1100,20291,ENGL,1100,001,Readng & Wrtng about Lit.,Lecture,-T-R---,0830-1020,A327,Peter Babiak
522,English,ENGL 1100,20292,ENGL,1100,002,Readng & Wrtng about Lit.,Lecture,M-W----,1030-1220,A306,Marc Acherman
523,English,ENGL 1100,20294,ENGL,1100,W01,Readng & Wrtng about Lit.,WWW,-------,-,WWW,Stefan Haag
524,English,ENGL 1100,20295,ENGL,1100,W02,Readng & Wrtng about Lit.,WWW,-------,-,WWW,Stefan Haag
525,English,ENGL 1106,20296,ENGL,1106,001,ACCESS Langara I,Lecture,MTWR---,1030-1220,A328,Skylet Yu
526,English,ENGL 1107,20297,ENGL,1107,001,Language & Composition I,Lecture,-T-R---,0830-1020,A328,Heather DeLong
527,English,ENGL 1107,20298,ENGL,1107,002,Language & Composition I,Lecture,M-W----,1230-1420,A328,Lauren Vedal
528,English,ENGL 1107,20299,ENGL,1107,003,Language & Composition I,Lecture,-T-R---,1430-1620,A328,Stefan Haag
529,English,ENGL 1121,20301,ENGL,1121,001,Reading & Writing Skills,Lecture,-T-R---,1030-1220,A327,Lauren Vedal
530,English,ENGL 1123,20302,ENGL,1123,001,Intro to Academic Writing,Lecture,M-W----,0830-1020,A306,Peter Babiak
531,English,ENGL 1123,20303,ENGL,1123,002,Intro to Academic Writing,Lecture,-T-R---,0830-1020,A306,Shannon Meek
532,English,ENGL 1123,20304,ENGL,1123,003,Intro to Academic Writing,Lecture,M-W----,1030-1220,A327,Trevor Newland
533,English,ENGL 1123,20305,ENGL,1123,004,Intro to Academic Writing,Lecture,-T-R---,1230-1420,A327,Shannon Meek
534,English,ENGL 1123,20306,ENGL,1123,005,Intro to Academic Writing,Lecture,M-W----,1230-1420,A327,Peter Babiak
535,English,ENGL 1123,20307,ENGL,1123,006,Intro to Academic Writing,Lecture,-T-R---,1230-1420,A328,Skylet Yu
536,English,ENGL 1123,20308,ENGL,1123,007,Intro to Academic Writing,Lecture,M-W----,1430-1620,A327,Simon Casey
537,English,ENGL 1123,20309,ENGL,1123,008,Intro to Academic Writing,Lecture,-T-R---,1030-1220,A306,Erin MacWilliam
538,English,ENGL 1123,20310,ENGL,1123,009,Intro to Academic Writing,Lecture,-T-R---,1430-1620,A327,Erin MacWilliam
539,English,ENGL 1123,20311,ENGL,1123,010,Intro to Academic Writing,Lecture,-T-----,1830-2150,A327,Stefan Haag
540,English,ENGL 1123,20740,ENGL,1123,011,Intro to Academic Writing,Lecture,M-W----,1430-1620,A328,Heather DeLong
541,English,ENGL 1123,20751,ENGL,1123,012,Intro to Academic Writing,Lecture,----F--,0930-1220,A327,Lara Estlin
542,English,ENGL 1123,20312,ENGL,1123,W01,Intro to Academic Writing,WWW,-------,-,WWW,Marc Acherman
543,English,ENGL 1123,20313,ENGL,1123,W02,Intro to Academic Writing,WWW,-------,-,WWW,Marc Acherman
544,English,ENGL 1123,20314,ENGL,1123,W03,Intro to Academic Writing,WWW,-------,-,WWW,Tiffany Johnstone
545,English,ENGL 1123,20315,ENGL,1123,W04,Intro to Academic Writing,WWW,-------,-,WWW,Tiffany Johnstone
546,English,ENGL 1125,20741,ENGL,1125,001,Intro to Linguistics:Contemp,Lecture,-T-R---,1230-1420,A319,Peter Babiak
547,English,ENGL 1129,20316,ENGL,1129,001,"Modern Novel, Poetry & Drama",Lecture,M-W----,1030-1220,A321,Ameena Mayer
548,English,ENGL 1129,20317,ENGL,1129,002,"Modern Novel, Poetry & Drama",Lecture,M-W----,1430-1620,A306,Livia Chan
549,English,ENGL 1129,20318,ENGL,1129,003,"Modern Novel, Poetry & Drama",Lecture,-T-R---,1230-1420,A306,Lauren Vedal
550,English,ENGL 1129,20752,ENGL,1129,004,"Modern Novel, Poetry & Drama",Lecture,-T-R---,1030-1220,A307,Neil MacAlister
551,English,ENGL 1129,20753,ENGL,1129,005,"Modern Novel, Poetry & Drama",Lecture,-T-R---,0830-1020,A307,Megan Holec
552,English,ENGL 1129,20319,ENGL,1129,W01,"Modern Novel, Poetry & Drama",WWW,-------,-,WWW,Trevor Newland
553,English,ENGL 1129,20320,ENGL,1129,W02,"Modern Novel, Poetry & Drama",WWW,-------,-,WWW,Trevor Newland
554,English,ENGL 1130,20321,ENGL,1130,001,"Modern Novel, Poetry & Film",Lecture,-T-R---,1030-1220,A321,Gregory Holditch
555,English,ENGL 1130,20322,ENGL,1130,002,"Modern Novel, Poetry & Film",Lecture,-T-R---,1230-1420,A276,Mono Brown
556,English,ENGL 1130,20323,ENGL,1130,W01,"Modern Novel, Poetry & Film",WWW,-------,-,WWW,Noel Currie
557,English,ENGL 1130,20324,ENGL,1130,W02,"Modern Novel, Poetry & Film",WWW,-------,-,WWW,Noel Currie
558,English,ENGL 2224,20742,ENGL,2224,001,English Literature: 1680-1900,Lecture,-T-R---,1030-1220,A272,Noel Currie
559,English,ENGL 2225,20327,ENGL,2225,W01,Canadian Literature,WWW,-------,-,WWW,Tiffany Johnstone
560,English,ENGL 2231,20743,ENGL,2231,001,World Literature in English,Lecture,M-W----,1030-1220,A307,Sean McAlister
561,English,ENGL 2236,20328,ENGL,2236,W01,Creative Writing:Prose Fiction,WWW,-------,-,WWW,Trevor Newland
562,English,ENGL 2246,20330,ENGL,2246,001,Creative Writing:Stageplay,Lecture,-T-R---,1230-1420,A334,Kathleen Oliver
563,English,ENGL 2430,20331,ENGL,2430,001,Film Through Theory,Lecture,M-W----,1430-1620,A307,Marc Acherman
564,Field Studies - International,FSIE 1111,20671,FSIE,1111,AF1,European Field Studies,Field School,-------,-,OFFC,"Kelin Emmett, Rana Ahmad"
565,Field Studies - International,FSIE 1121,20674,FSIE,1121,AF1,Japan Field Studies,Field School,-------,-,OFFC,"Nariko Takayanagi, Benjamin Wood"
566,Field Studies - International,FSIE 1124,20349,FSIE,1124,AF1,Field Studies in Asia,Field School,-------,-,OFFC,"Kenneth Wong, Avram Agov"
567,Field Studies - International,FSIE 2000,20164,FSIE,2000,F01,Disney Field School,Field School,-------,-,OFFC,Sean Padley
568,Film Arts,FLMA 1100,20623,FLMA,1100,001,Intro to Film Production,Lecture,M------,0930-1320,A254,Jason Simpson
569,Film Arts,FLMA 1200,20624,FLMA,1200,001,Art of the Short Film,Lecture,-T-----,1330-1720,A256,Katrin Bowen
570,Film Arts,FLMA 1210,20625,FLMA,1210,001,Adv Tchnqs & Signature Tape,Lecture,-T-----,1030-1420,A025,Jennifer Copping
571,Film Arts,FLMA 1220,20626,FLMA,1220,001,Voice II,Lecture,--W----,0930-1220,A077,Jason Simpson
572,Film Arts,FLMA 1222,20627,FLMA,1222,001,Audition Lab,Lecture,---R---,1230-1520,A025,Hazel Chadwick
573,Film Arts,FLMA 1230,20628,FLMA,1230,001,SrsTV Lab: Plts&Bbls; Stry Ed,Lecture,--W----,0930-1320,A247A,Ryan Smith
574,Film Arts,FLMA 1240,20629,FLMA,1240,001,"Adpttns, Anmtn & Chldrns TV",Lecture,-T-----,1730-2120,A247A,Ryan Smith
575,Film Arts,FLMA 1250,20630,FLMA,1250,001,Case Studies,Lecture,--W----,1400-1750,A247A,Katrin Bowen
576,Film Arts,FLMA 1261,20631,FLMA,1261,A01,Adv Cinematography - Staging,Lecture,M--R---,0930-1320,A058,Daniel Nowak
577,Film Arts,FLMA 1262,20632,FLMA,1262,B01,Online Finishing and Sound Mix,Lecture,-T-----,1030-1420,A247,Jonas Quastel
578,Film Arts,FLMA 1271,20633,FLMA,1271,A01,Career Development for Film In,Lecture,----F--,0930-1320,A256,Jason Simpson
579,Film Arts,FLMA 1272,20634,FLMA,1272,B01,Film Festival and Distribution,Lecture,----F--,1030-1420,A256,Jennifer Copping
580,Film Arts,FLMA 1280,20635,FLMA,1280,001,Prdctn Prctcm for the Actor,Lecture,M------,1430-1820,A256,"Jonas Quastel, Janin Palahicky"
581,Film Arts,FLMA 1280,20635,FLMA,1280,001,Prdctn Prctcm for the Actor,Lecture,---R---,1630-2020,A256,"Jonas Quastel, Janin Palahicky"
582,Film Arts,FLMA 1281,20636,FLMA,1281,001,Production Practcm: The Writer,Lecture,M------,1430-1820,A256,"Jonas Quastel, Janin Palahicky"
583,Film Arts,FLMA 1281,20636,FLMA,1281,001,Production Practcm: The Writer,Lecture,---R---,1630-2020,A256,"Jonas Quastel, Janin Palahicky"
584,Film Arts,FLMA 1282,20637,FLMA,1282,001,Production Prctm: The Director,Lecture,M------,1430-1820,A256,"Jonas Quastel, Janin Palahicky"
585,Film Arts,FLMA 1282,20637,FLMA,1282,001,Production Prctm: The Director,Lecture,---R---,1630-2020,A256,"Jonas Quastel, Janin Palahicky"
586,Financial Management,FMGT 1115,20484,FMGT,1115,001,Financial Accounting I,Lecture,----F--,0930-1220,B251,Lisa Ricci
587,Financial Management,FMGT 1115,20485,FMGT,1115,002,Financial Accounting I,Lecture,M-W----,1430-1620,B251,Akash Rattan
588,Financial Management,FMGT 1115,20486,FMGT,1115,M01,Financial Accounting I,Lecture,---R---,1430-1620,B251,Lisa Ricci
589,Financial Management,FMGT 1115,20486,FMGT,1115,M01,Financial Accounting I,Lecture,-------,-,WWW,Lisa Ricci
590,Financial Management,FMGT 1115,20487,FMGT,1115,W01,Financial Accounting I,WWW,-T-----,1030-1220,WWW,Mumsy Ullattikulam
591,Financial Management,FMGT 1115,20487,FMGT,1115,W01,Financial Accounting I,WWW,-------,-,WWW,Mumsy Ullattikulam
592,Financial Management,FMGT 1115,20488,FMGT,1115,W02,Financial Accounting I,WWW,--W----,1230-1420,WWW,Mumsy Ullattikulam
593,Financial Management,FMGT 1115,20488,FMGT,1115,W02,Financial Accounting I,WWW,-------,-,WWW,Mumsy Ullattikulam
594,Financial Management,FMGT 1115,20489,FMGT,1115,W03,Financial Accounting I,WWW,-------,-,WWW,Alym Amlani
595,Financial Management,FMGT 1116,20491,FMGT,1116,001,Accounting for Managers,Lecture,-T-----,1430-1720,B251,Robin Sandhawalia
596,Financial Management,FMGT 1116,20497,FMGT,1116,A01,Accounting for Managers,Lecture,M-W----,0930-1220,B254,Sze-Ching Yip
597,Financial Management,FMGT 1116,20494,FMGT,1116,W01,Accounting for Managers,WWW,M------,1030-1220,WWW,Dan Relihan
598,Financial Management,FMGT 1116,20494,FMGT,1116,W01,Accounting for Managers,WWW,-------,-,WWW,Dan Relihan
599,Financial Management,FMGT 1116,20495,FMGT,1116,W02,Accounting for Managers,WWW,-------,-,WWW,Diana Leong
600,Financial Management,FMGT 1215,20498,FMGT,1215,001,Financial Accounting II,Lecture,---R---,1430-1720,B254,Justin Molander
601,Financial Management,FMGT 1215,20501,FMGT,1215,W01,Financial Accounting II,WWW,---R---,0830-1020,WWW,Mumsy Ullattikulam
602,Financial Management,FMGT 1215,20501,FMGT,1215,W01,Financial Accounting II,WWW,-------,-,WWW,Mumsy Ullattikulam
603,Financial Management,FMGT 1215,20504,FMGT,1215,W02,Financial Accounting II,WWW,-------,-,WWW,Mumsy Ullattikulam
604,Financial Management,FMGT 1215,20506,FMGT,1215,W03,Financial Accounting II,WWW,-T-R---,1830-2020,WWW,Justin Molander
605,Financial Management,FMGT 1321,20508,FMGT,1321,M01,Intermediate Accounting I,Lecture,-T-----,1230-1420,B251,Dan Relihan
606,Financial Management,FMGT 1321,20508,FMGT,1321,M01,Intermediate Accounting I,Lecture,-------,-,WWW,Dan Relihan
607,Financial Management,FMGT 2293,20769,FMGT,2293,A01,Financial Accounting Overview,Lecture,M-W----,0930-1220,B247,Diana Leong
608,Financial Management,FMGT 2294,20510,FMGT,2294,001,Managerial Accounting Overview,Lecture,----F--,0930-1220,B246,Timothy Edwards
609,Financial Management,FMGT 2294,20513,FMGT,2294,W01,Managerial Accounting Overview,WWW,-------,-,WWW,Moon Wong
610,Financial Management,FMGT 2308,20516,FMGT,2308,M01,Accounting Computer Applcns,Lecture,M------,1430-1620,L104,Justin Molander
611,Financial Management,FMGT 2308,20516,FMGT,2308,M01,Accounting Computer Applcns,Lecture,-------,-,WWW,Justin Molander
612,Financial Management,FMGT 2325,20520,FMGT,2325,001,Taxation,Lecture,M-W----,1230-1420,B251,Shiraz Charania
613,Financial Management,FMGT 2371,20522,FMGT,2371,001,Financial Management I,Lecture,M------,1630-1920,B251,Shiraz Charania
614,Financial Management,FMGT 2421,20523,FMGT,2421,001,Intermediate Accounting II,Lecture,---R---,1430-1720,B246,Robin Sandhawalia
615,Financial Management,FMGT 2474,20526,FMGT,2474,001,Financial Management II,Lecture,--W----,1530-1820,B254,Shiraz Charania
616,Financial Management,FMGT 3121,20529,FMGT,3121,001,Advanced Financial Accounting,Lecture,---R---,1830-2120,B251,Akash Rattan
617,Financial Management,FMGT 3223,20531,FMGT,3223,001,Advanced Management Accounting,Lecture,-T-----,1830-2120,B246,Alym Amlani
618,Financial Management,FMGT 3263,20534,FMGT,3263,001,Internal Control and Auditing,Lecture,--W----,1830-2120,B251,Darren Taylor
619,Financial Management,FMGT 4800,20537,FMGT,4800,M01,Intro to Financial Accounting,Lecture,--W----,1030-1220,B251,Moon Wong
620,Financial Management,FMGT 4800,20537,FMGT,4800,M01,Intro to Financial Accounting,Lecture,-------,-,WWW,Moon Wong
621,Financial Management,FMGT 4810,20539,FMGT,4810,M01,Managerial Accounting,Lecture,---R---,1230-1420,B251,Timothy Edwards
622,Financial Management,FMGT 4810,20539,FMGT,4810,M01,Managerial Accounting,Lecture,-------,-,WWW,Timothy Edwards
623,Financial Management,FMGT 4816,20540,FMGT,4816,M01,Accounting for Managers,Lecture,M------,1230-1420,B254,Jennifer Duffy
624,Financial Management,FMGT 4816,20540,FMGT,4816,M01,Accounting for Managers,Lecture,-------,-,WWW,Jennifer Duffy
625,Financial Management,FMGT 4816,20541,FMGT,4816,M02,Accounting for Managers,Lecture,---R---,1030-1220,B251,Timothy Edwards
626,Financial Management,FMGT 4816,20541,FMGT,4816,M02,Accounting for Managers,Lecture,-------,-,WWW,Timothy Edwards
627,Financial Management,FMGT 4816,20544,FMGT,4816,M03,Accounting for Managers,Lecture,M------,1630-1820,B246,Dan Relihan
628,Financial Management,FMGT 4816,20544,FMGT,4816,M03,Accounting for Managers,Lecture,-------,-,WWW,Dan Relihan
629,Financial Management,FMGT 4816,20548,FMGT,4816,M04,Accounting for Managers,Lecture,-T-----,1430-1620,B246,Timothy Edwards
630,Financial Management,FMGT 4816,20548,FMGT,4816,M04,Accounting for Managers,Lecture,-------,-,WWW,Timothy Edwards
631,Financial Management,FMGT 4818,20771,FMGT,4818,001,Advanced Management Acctg,Lecture,M------,1430-1720,B254,Alym Amlani
632,Financial Management,FMGT 4820,20552,FMGT,4820,M01,Intermediate Financial Accg I,Lecture,-T-----,0830-1020,B251,Dan Relihan
633,Financial Management,FMGT 4820,20552,FMGT,4820,M01,Intermediate Financial Accg I,Lecture,-------,-,WWW,Dan Relihan
634,Financial Management,FMGT 4824,20554,FMGT,4824,M01,Intermediate Financial Accg II,Lecture,-T-----,1030-1220,B251,Robin Sandhawalia
635,Financial Management,FMGT 4824,20554,FMGT,4824,M01,Intermediate Financial Accg II,Lecture,-------,-,WWW,Robin Sandhawalia
636,Financial Management,FMGT 4828,20556,FMGT,4828,M01,Advanced Financial Accounting,Lecture,---R---,1630-1820,B251,Akash Rattan
637,Financial Management,FMGT 4828,20556,FMGT,4828,M01,Advanced Financial Accounting,Lecture,-------,-,WWW,Akash Rattan
638,Financial Management,FMGT 4860,20558,FMGT,4860,001,Financial Management I,Lecture,-T-R---,1030-1220,B246,Akash Rattan
639,Financial Management,FMGT 4865,20560,FMGT,4865,001,Financial Management II,Lecture,M-W----,1030-1220,B246,Shiraz Charania
640,Financial Management,FMGT 4870,20561,FMGT,4870,001,Introduction to Taxation,Lecture,M-W----,0830-1020,B246,Moon Wong
641,Financial Management,FMGT 4875,20562,FMGT,4875,001,Advanced Taxation,Lecture,M-W----,1230-1420,B247,Moon Wong
642,Financial Management,FMGT 4880,20563,FMGT,4880,M01,Internal Control & Auditing,Lecture,--W----,1630-1820,B251,Darren Taylor
643,Financial Management,FMGT 4880,20563,FMGT,4880,M01,Internal Control & Auditing,Lecture,-------,-,WWW,Darren Taylor
644,Fine Arts,FINA 1111,20789,FINA,1111,A01,Foundation Ceramic,Lecture,MT-----,1330-1720,A006,Gloria Han
645,Fine Arts,FINA 1142,20093,FINA,1142,A01,Foundation Design Studio,Lecture,--WR---,1330-1720,A003,Charlotte Falk
646,Fine Arts,FINA 1143,20086,FINA,1143,A01,Foundation Media Studio,Lecture,-T-R---,0900-1250,A110,Elizabeth Milton
647,Fine Arts,FINA 2130,20084,FINA,2130,AW1,Advanced Painting I,WWW,--W-F--,0900-1250,A110,Elizabeth Milton
648,Fine Arts,FINA 2180,20083,FINA,2180,AW1,Prof Practice in Arts Design,WWW,M-W----,1330-1720,WWW,Elizabeth Milton
649,Fine Arts,FINA 2195,20085,FINA,2195,A01,Spcl Tpcs:Advanced Woodcarving,Lecture,-T-R---,1330-1720,A007,Aaron Nelson
650,Food Services,FSRV 1219,20332,FSRV,1219,001,Orientation to Food Service,Practicum,-------,-,OFFC,Monica Molag
651,Food Services,FSRV 2329,20646,FSRV,2329,001,Food Service Supervision Pract,Practicum,-------,-,OFFC,Monica Molag
652,Food Services,FSRV 2429,20648,FSRV,2429,001,Food Service Managmt Practicum,Practicum,-------,-,OFFC,Monica Molag
653,Food Services,FSRV 2529,20649,FSRV,2529,001,Food Service Superv - Final Pr,Practicum,-------,-,OFFC,Monica Molag
654,Food Services,FSRV 3114,20333,FSRV,3114,W01,Food Prod - Stndrds of Qlty I,WWW,-------,-,WWW,Shane Kwong
655,French,FREN 1115,20362,FREN,1115,001,Beginner's French I,Lecture,M-W----,1030-1220,A320,Han Fei
656,French,FREN 1115,20364,FREN,1115,002,Beginner's French I,Lecture,-T-R---,0830-1020,A320,Han Fei
657,French,FREN 1205,20368,FREN,1205,001,French Conversational Skills,Lecture,M-W----,1430-1620,A320,Han Fei
658,French,FREN 1215,20367,FREN,1215,001,Beginner's French II,Lecture,-T-R---,1230-1420,A320,Han Fei
659,Geography,GEOG 1110,20404,GEOG,1110,001,Intro to Human Geography,Lecture,-T-R---,1430-1620,A136B,Jenny Francis
660,Geography,GEOG 1120,20405,GEOG,1120,001,Regional Geography of Canada,Lecture,--W----,1630-1920,A231,Rory Crowley
661,Geography,GEOG 1120,20680,GEOG,1120,002,Regional Geography of Canada,Lecture,----F--,0930-1220,A231,Rory Crowley
662,Geography,GEOG 1150,20407,GEOG,1150,001,Geography of British Columbia,Lecture,M------,1430-1720,A231,Jenny Francis
663,Geography,GEOG 1155,20413,GEOG,1155,001,Environmental Geography,Lecture,-T-R---,1230-1420,A231,Jenny Francis
664,Geography,GEOG 1160,20409,GEOG,1160,001,Geographies of Asia-Pacific,Lecture,-T-R---,1030-1220,A229,David Brownstein
665,Geography,GEOG 1180,20415,GEOG,1180,001,"Phys Geog:Meteor,Climat, & Bio",Lecture,--W----,0930-1020,A231,S.M. Talha Qadri
666,Geography,GEOG 1180,20415,GEOG,1180,001,"Phys Geog:Meteor,Climat, & Bio",Lecture,M------,1030-1220,A231,S.M. Talha Qadri
667,Geography,GEOG 1180,20415,GEOG,1180,001,"Phys Geog:Meteor,Climat, & Bio",Lab,--W----,1030-1220,A231,S.M. Talha Qadri
